City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,rawson,-43.3002,-65.1023,13.78,27,54,6.26,AR,1680135010
171,dikson,73.5069,80.5464,-22.02,98,100,5.67,RU,1680135011
172,ahuimanu,21.4447,-157.8378,27.84,79,75,4.63,US,1680135012
173,avera,33.194,-82.5271,15.73,48,98,1.48,US,1680135013
174,kaoma,-14.7833,24.8,19.05,92,94,1.9,ZM,1680135014
175,king city,36.2127,-121.126,10.49,71,100,5.19,US,1680135015
176,kungurtug,50.5994,97.5228,-5.1,78,4,1.2,RU,1680135016
177,mar del plata,-38.0023,-57.5575,15.61,64,0,2.06,AR,1680135017
178,melfort,52.8667,-104.6177,-3.29,90,89,4.42,CA,1680135018
179,saint-philippe,-21.3585,55.7679,22.77,79,63,3.09,RE,1680135019
180,kavieng,-2.5744,150.7967,28.1,74,99,2.31,PG,1680135019
181,chokurdakh,70.6333,147.9167,-23.76,94,100,1.27,RU,1680135020
182,butaritari,3.0707,172.7902,27.39,79,87,5.89,KI,1680135021
183,balkhash,46.844,74.9804,4.18,61,23,4.17,KZ,1680135021
184,arraial do cabo,-22.9661,-42.0278,24.98,85,100,8.34,BR,1680135022
185,fare,-16.7,-151.0167,28.08,72,81,2.91,PF,1680135023
186,igurusi,-8.85,33.85,17.24,91,88,0.53,TZ,1680135024
187,havre-saint-pierre,50.2334,-63.5986,-1.23,89,69,2.37,CA,1680135025
188,lorengau,-2.0226,147.2712,27.83,78,98,3.5,PG,1680135026
189,mount pleasant,32.7941,-79.8626,15.1,77,0,1.54,US,1680134942
190,prince rupert,54.3161,-130.3201,6.61,71,35,1.93,CA,1680135004
191,santa quiteria,-4.3319,-40.1567,23.17,94,96,0.93,BR,1680135028
192,panguna,-6.3164,155.4848,23.94,85,100,1.31,PG,1680135028
193,winona,43.9666,-91.7668,-0.31,34,0,2.57,US,1680134863
194,santo antonio do sudoeste,-26.0736,-53.7253,22.03,84,19,1.43,BR,1680135030
195,cabra,37.4725,-4.4421,14.64,39,90,1.54,ES,1680135030
196,elko,41.0002,-115.5012,2.01,65,100,5.81,US,1680135032
197,college,64.8569,-147.8028,1.37,39,75,3.6,US,1680135032
198,whitehorse,60.7161,-135.0538,-0.44,81,95,0.7,CA,1680135033
199,kavaratti,10.5669,72.642,27.2,71,46,4.6,IN,1680135034
200,tondano,1.3038,124.9112,24.05,93,100,0.56,ID,1680135035
201,buala,-8.145,159.5921,26.95,82,99,2.84,SB,1680135035
202,itarema,-2.9248,-39.9167,24.7,89,37,3.61,BR,1680134745
203,agadez,19.75,10.25,21.82,9,4,5.51,NE,1680135037
204,shasta lake,40.6804,-122.3708,8.2,85,100,0.72,US,1680135038
205,fuyu,45.1833,124.8167,9.95,35,33,0.8,CN,1680135039
206,henties bay,-22.116,14.2845,15.19,93,13,3.58,NA,1680135040
207,phan thiet,10.9333,108.1,25.32,78,75,1.02,VN,1680135041
208,olafsvik,64.8945,-23.7142,2.28,84,100,6.51,IS,1680135041
209,lagoa,39.05,-27.9833,16.21,86,100,18.33,PT,1680135042
210,athabasca,54.7169,-113.2854,0.4,99,100,2.27,CA,1680135043
211,grindavik,63.8424,-22.4338,3.26,87,100,7.2,IS,1680134878
212,dingle,10.9995,122.6711,27.44,76,82,4.09,PH,1680135045
213,myitkyina,25.3833,97.4,16.71,66,27,0.97,MM,1680135045
214,beloha,-25.1667,45.05,19.85,86,1,2.13,MG,1680135046
215,wadi musa,30.3222,35.4793,5.73,88,94,6.72,JO,1680135047
216,carinhanha,-14.3047,-43.765,27.26,36,99,3.13,BR,1680135047
217,gillingham,51.3891,0.5486,13.25,86,90,4.47,GB,1680135048
218,vestmanna,62.1564,-7.1664,5.51,87,100,16.46,FO,1680135049
219,camacha,33.0833,-16.3333,16.68,88,20,5.66,PT,1680135050
220,zhigansk,66.7697,123.3711,-21.49,92,66,2.63,RU,1680135051
221,kolda,12.8833,-14.95,25.58,39,14,3.04,SN,1680135051
222,kidal,18.4411,1.4078,25.64,7,33,4.84,ML,1680135052
223,lamu,-2.2717,40.902,28.12,79,21,3.59,KE,1680135053
224,byron bay,-28.65,153.6167,26.51,72,98,2.36,AU,1680135054
225,tuktoyaktuk,69.4541,-133.0374,-15.65,86,27,2.69,CA,1680135054
226,eureka,40.8021,-124.1637,13.12,67,59,5.36,US,1680135050
227,kinston,35.2627,-77.5816,11.73,76,0,0.0,US,1680135053
228,bubaque,11.2833,-15.8333,25.45,70,27,7.19,GW,1680135056
229,remedios,22.4947,-79.5458,25.51,74,0,3.83,CU,1680134772
230,bredasdorp,-34.5322,20.0403,13.86,76,36,2.63,ZA,1680135057
231,yining,29.0361,114.5636,12.14,96,100,0.5,CN,1680135058
232,coquimbo,-29.9533,-71.3436,15.85,94,0,1.03,CL,1680135059
233,nador,35.174,-2.9287,13.14,94,0,2.06,MA,1680135059
234,vardo,70.3705,31.1107,-3.01,100,100,7.72,NO,1680135060
235,north platte,41.1239,-100.7654,3.4,61,0,6.26,US,1680135061
236,sao filipe,14.8961,-24.4956,25.07,58,79,3.37,CV,1680135062
237,wronki,52.7105,16.3804,7.01,88,100,2.68,PL,1680135063
238,cidreira,-30.1811,-50.2056,22.38,89,62,2.93,BR,1680134896
239,bilibino,68.0546,166.4372,-13.88,89,97,1.31,RU,1680135065
240,puerto quijarro,-17.7833,-57.7667,26.64,72,41,0.84,BO,1680135066
241,tete,-16.1564,33.5867,20.45,97,43,0.54,MZ,1680135067
242,raudeberg,61.9875,5.1352,1.37,63,69,4.67,NO,1680135068
243,portland,45.5234,-122.6762,15.71,58,64,2.68,US,1680134385
244,zenzeli,45.9241,47.0474,11.45,63,98,3.05,RU,1680135070
245,rio grande,-32.035,-52.0986,24.06,76,12,3.45,BR,1680135070
246,chulman,56.8479,124.9104,-13.03,96,92,0.65,RU,1680135071
247,ust-tsilma,65.441,52.1498,-8.38,93,97,3.08,RU,1680135072
248,lichuan,30.3,108.85,6.63,88,50,0.42,CN,1680135072
249,san jeronimo,-11.9472,-75.2829,10.29,81,74,1.79,PE,1680135073
250,port lincoln,-34.7333,135.8667,17.59,63,64,4.52,AU,1680134850
251,kautokeino,69.0125,23.0412,-8.84,96,100,2.95,NO,1680135074
252,severo-kurilsk,50.6789,156.125,2.16,81,7,2.82,RU,1680134852
253,gobabis,-22.45,18.9667,19.8,32,9,4.49,NA,1680135076
254,mahebourg,-20.4081,57.7,26.25,86,64,6.4,MU,1680134778
255,wuzhou,23.4833,111.3167,16.64,94,100,1.27,CN,1680135077
256,caravelas,-17.7125,-39.2481,24.33,78,0,2.74,BR,1680135078
257,guerrero negro,27.9769,-114.0611,17.4,46,1,7.64,MX,1680135079
258,labuhan,-6.8844,112.2051,26.49,83,100,3.07,ID,1680135080
259,port-gentil,-0.7193,8.7815,27.1,71,92,3.13,GA,1680135080
260,marfino,55.7028,37.3822,6.16,100,100,4.0,RU,1680135081
261,tashtagol,52.7657,87.8894,1.64,99,100,1.24,RU,1680135082
262,mangalia,43.8,28.5833,1.83,65,38,5.22,RO,1680135082
263,freeport,40.6576,-73.5832,8.05,68,0,8.23,US,1680134792
264,arys,42.4252,68.795,14.28,69,80,2.8,KZ,1680135084
265,coihaique,-45.5752,-72.0662,4.97,93,40,3.6,CL,1680135084
266,half moon bay,37.4636,-122.4286,12.1,81,75,5.14,US,1680135085
267,vila velha,-20.3297,-40.2925,24.97,90,65,3.01,BR,1680135002
268,buribay,51.9617,58.1592,-2.0,81,38,8.24,RU,1680135087
269,fortuna,40.5982,-124.1573,12.97,67,69,4.92,US,1680135036
270,viedma,-40.8135,-62.9967,11.5,24,0,2.58,AR,1680135088
271,bowen,-20.0167,148.2333,27.88,69,22,2.91,AU,1680135089
272,iracoubo,5.4802,-53.2011,24.85,88,79,5.46,GF,1680135090
273,margate,51.3813,1.3862,13.26,81,93,2.24,GB,1680135091
274,plettenberg bay,-34.0527,23.3716,13.94,78,84,3.88,ZA,1680135091
275,teya,60.3778,92.6267,-16.01,93,95,3.08,RU,1680135093
276,bethel,41.3712,-73.414,8.14,50,0,4.12,US,1680135094
277,dickinson,29.4608,-95.0513,19.05,75,100,5.66,US,1680135094
278,najran,17.4924,44.1277,22.28,53,49,3.11,SA,1680135095
279,kaitangata,-46.2817,169.8464,12.04,59,91,4.7,NZ,1680135096
280,takoradi,4.8845,-1.7554,26.53,85,99,3.47,GH,1680134938
281,mazamari,-11.3258,-74.5308,23.4,85,72,0.79,PE,1680135097
282,nizhneangarsk,55.7833,109.55,0.07,98,100,0.72,RU,1680135098
283,trapani,37.8333,12.6667,11.26,88,4,3.36,IT,1680135099
284,amarante do maranhao,-5.5667,-46.7422,22.02,98,56,1.58,BR,1680135100
285,cabedelo,-6.9811,-34.8339,25.37,85,61,3.79,BR,1680135101
286,luau,-10.7073,22.2247,18.07,96,89,0.84,AO,1680135101
287,floro,61.5996,5.0328,1.98,51,86,7.2,NO,1680135102
288,carauari,-4.8828,-66.8958,23.26,97,100,0.43,BR,1680135103
289,bukama,-9.2,25.85,20.64,98,100,0.49,CD,1680135104
290,ossora,59.2353,163.0719,-7.2,77,8,0.79,RU,1680135104
291,gizo,-8.103,156.8419,27.7,78,100,3.34,SB,1680135105
292,pangai,-19.8,-174.35,26.47,79,87,3.74,TO,1680135106
293,ambulu,-8.345,113.6058,25.83,86,81,0.83,ID,1680135107
